YEAR;CULTURAL_SPACE_NAME;WEBSITE;TYPE;PRIMARY_USE;ADDRESS;LOCAL_AREA;OWNERSHIP;SQUARE_FEET;NUMBER_OF_SEATS;ACTIVE_SPACE;Geom;geo_point_2d
2017;CBC Outdoor Stage;http://www.cbc.ca;Community Space;Plaza/Park/Band Shell;700 Hamilton St, Vancouver, BC, V6B 2R5;Downtown;Government;2623;;Yes;"{""coordinates"": [-123.114669, 49.279299], ""type"": ""Point""}";49.279299, -123.114669
2017;Lobby Gallery;http://www.ligi.ubc.ca/LobbyGallery.htm;Museum/Gallery;Museum/Gallery;6476 NW Marine Dr, Vancouver, BC,;UBC;Other;200;;Yes;"{""coordinates"": [-123.259146, 49.267681], ""type"": ""Point""}";49.267681, -123.259146
2017;Lumbermen's Arch;;Community Space;Plaza/Park/Band Shell;Stanley Park, Vancouver, BC;Stanley Park;City of Vancouver;66120;;Yes;"{""coordinates"": [-123.131707, 49.302981], ""type"": ""Point""}";49.302981, -123.131707
2017;Plaza of Nations;www.plazaofnations.com?;Community Space;Plaza/Park/Band Shell;750 Pacific Blvd, Vancouver, BC, V6B 5E7;Downtown;Privately Owned;140000;;Yes;"{""coordinates"": [-123.110068, 49.276031], ""type"": ""Point""}";49.276031, -123.110068
2017;Semi-Public (221A);http://221a.ca/;Community Space;Plaza/Park/Band Shell;271 Union St, Vancouver, BC, V6A 2B2;Strathcona;Privately Owned;3000;;Yes;"{""coordinates"": [-123.0974061, 49.2778745], ""type"": ""Point""}";49.2778745, -123.0974061
2016;Alliance for Arts and Culture;http://www.allianceforarts.com;Museum/Gallery;Library/Archives;938 Howe St, Vancouver, BC, V6Z 1N9;Downtown;Privately Owned;4095;30;Yes;"{""coordinates"": [-123.1228359, 49.2803099], ""type"": ""Point""}";49.2803099, -123.1228359
2016;Arts Club Theatre - Production Centre;;Studio/Rehearsal;Workshop;1377 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Government;11282;;Yes;"{""coordinates"": [-123.1347122, 49.2700047], ""type"": ""Point""}";49.2700047, -123.1347122
2016;Catriona Jeffries Gallery;www.catrionajeffries.com?;Museum/Gallery;Museum/Gallery;274 E 1st Av, Vancouver, BC, V5T 1A6;Strathcona;Privately Owned;6500;;Yes;"{""coordinates"": [-123.0980394, 49.2687198], ""type"": ""Point""}";49.2687198, -123.0980394
2016;City of Vancouver Archives;www.vancouver.cayour-government/city-of-vancouver-archives.aspx?;Museum/Gallery;Library/Archives;1150 Chestnut St, Vancouver, BC, V6J 3J9;Kitsilano;City of Vancouver;;;Yes;"{""coordinates"": [-123.142663, 49.276084], ""type"": ""Point""}";49.276084, -123.142663
2016;Monte Clark Gallery;www.monteclarkgallery.com;Museum/Gallery;Museum/Gallery;525 Great Northern Way, Vancouver, BC, V5T 1E1;Strathcona;Privately Owned;4000;;Yes;"{""coordinates"": [-123.0921743, 49.26761], ""type"": ""Point""}";49.26761, -123.0921743
2016;Peter Kiss Gallery;www.peterkiss.com;Museum/Gallery;Museum/Gallery;1327 Railspur Alley, Vancouver, BC, V6H 4G9;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1337947, 49.2701374], ""type"": ""Point""}";49.2701374, -123.1337947
2015;Centre A - Centre For Contemporary Asian Art;http://centrea.org;Museum/Gallery;Museum/Gallery;229 E Georgia St, Vancouver, BC, V6A 1Z6;Strathcona;Privately Owned;1500;;Yes;"{""coordinates"": [-123.098671, 49.278676], ""type"": ""Point""}";49.278676, -123.098671
2015;Chinese Cultural Centre Museum and Archives;;Museum/Gallery;Museum/Gallery;555 Columbia St, Vancouver, BC, V6A 4H5;Downtown;City of Vancouver;;;Yes;"{""coordinates"": [-123.102448, 49.279894], ""type"": ""Point""}";49.279894, -123.102448
2015;Jericho Beach;;Community Space;Plaza/Park/Band Shell;3941 Point Grey Rd., Vancouver, BC, V6R 1B5;West Point Grey;City of Vancouver;250799;;Yes;"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}";49.2711948, -123.1912389
2015;Lobby Gallery;http://www.ligi.ubc.ca/LobbyGallery.htm;Museum/Gallery;Museum/Gallery;6476 NW Marine Dr, Vancouver, BC,;UBC;Other;200;;Yes;"{""coordinates"": [-123.259146, 49.267681], ""type"": ""Point""}";49.267681, -123.259146
2015;PNE Amphitheatre;http://www.49st.com/venue/pne-amphitheatre#info;Community Space;Plaza/Park/Band Shell;2901 E Hastings St, Vancouver, BC, V5K 5J1;Hastings-Sunrise;City of Vancouver;;4500;Yes;"{""coordinates"": [-123.037295, 49.28416], ""type"": ""Point""}";49.28416, -123.037295
2015;Western Front - Gallery;www.front.bc.ca?;Museum/Gallery;Museum/Gallery;303 E 8th Av, Vancouver, BC, V5T 1S1;Mount Pleasant;Privately Owned;3110;;Yes;"{""coordinates"": [-123.098654, 49.263916], ""type"": ""Point""}";49.263916, -123.098654
2014;Back Gallery Project;http://www.backgalleryproject.com/;Museum/Gallery;Museum/Gallery;602 E Hastings St, Vancouver, BC, V6A 1R1;Strathcona;Privately Owned;900;;Yes;"{""coordinates"": [-123.0913998, 49.2811369], ""type"": ""Point""}";49.2811369, -123.0913998
2014;Circle Craft Co-Operative Shop & Gallery;www.circlecraft.net/;Museum/Gallery;Museum/Gallery;1666 Johnston St, Vancouver, BC, V6H 3S2;Fairview;Government;;;Yes;"{""coordinates"": [-123.135541, 49.272369], ""type"": ""Point""}";49.272369, -123.135541
2014;Equinox Gallery;www.equinoxgallery.com;Museum/Gallery;Museum/Gallery;525 Great Northern Way, Vancouver, BC, V5T 1E1;Strathcona;Privately Owned;14000;;Yes;"{""coordinates"": [-123.09226, 49.267609], ""type"": ""Point""}";49.267609, -123.09226
2014;Haywood Bandstand;;Community Space;Plaza/Park/Band Shell;1755 Beach Av, Vancouver, BC,;West End;Park Board/COV;;;Yes;"{""coordinates"": [-123.141944, 49.285278], ""type"": ""Point""}";49.285278, -123.141944
2014;Uno Langmann Limited Fine Arts;www.langmann.com;Museum/Gallery;Museum/Gallery;2117 Granville St, Vancouver, BC, V6H 3E9;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1388698, 49.2666423], ""type"": ""Point""}";49.2666423, -123.1388698
2020;Bau-Xi Gallery;www.bau-xi.com;Museum/Gallery;Museum/Gallery;3045 Granville St, Vancouver, BC, V6H 3J9;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1391799, 49.258496], ""type"": ""Point""}";49.258496, -123.1391799
2020;Centre A - Centre For Contemporary Asian Art;http://centrea.org;Museum/Gallery;Museum/Gallery;205-268 Keefer St, Vancouver, BC, V6A 1X6;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.098181, 49.280067], ""type"": ""Point""}";49.280067, -123.098181
2020;FIELD Contemporary;www.field-contemporary.com;Museum/Gallery;Museum/Gallery;17 W Broadway, Vancouver, BC, V5Y 1P1;Mount Pleasant;Privately Owned;800;;Yes;"{""coordinates"": [-123.1058083, 49.2630895], ""type"": ""Point""}";49.2630895, -123.1058083
2020;Gallery Gachet;www.gachet.org?;Museum/Gallery;Museum/Gallery;9 W Hastings St, Vancouver, BC, V6B 1G4;Downtown Eastside;Privately Owned;;;Yes;"{""coordinates"": [-123.104947, 49.281719], ""type"": ""Point""}";49.281719, -123.104947
2020;Great Northern Way Scene Shop;www.gnwshop.ca?;Studio/Rehearsal;Workshop;101-281 Industrial Av, Vancouver, BC, V5A 2P2;Strathcona;City of Vancouver;;;Yes;"{""coordinates"": [-123.098432, 49.270087], ""type"": ""Point""}";49.270087, -123.098432
2020;James Black Gallery;http://www.thejamesblack.gallery/;Museum/Gallery;Museum/Gallery;144 E 6th Av, Vancouver, BC, V5T1J5;Mount Pleasant;Privately Owned;1500;15;Yes;"{""coordinates"": [-123.1019214, 49.2652632], ""type"": ""Point""}";49.2652632, -123.1019214
2020;Marion Scott Gallery;www.marionscottgallery.com;Museum/Gallery;Museum/Gallery;2423 Granville St, Vancouver, BC, V6H 3G5;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1386272, 49.264079], ""type"": ""Point""}";49.264079, -123.1386272
2020;On Main Gallery;www.onmaingallery.com?;Museum/Gallery;Museum/Gallery;427-268 Keefer St, Vancouver, BC, V6A 1X5;Riley Park;Privately Owned;;;Yes;"{""coordinates"": [-123.10056, 49.252773], ""type"": ""Point""}";49.252773, -123.10056
2020;Oppenheimer Park/ Powell Street Festival;;Community Space;Plaza/Park/Band Shell;400 Powell St, Vancouver, BC, V6A 1G6;Strathcona;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.094341, 49.282643], ""type"": ""Point""}";49.282643, -123.094341
2020;Pacific Cinematheque;https://thecinematheque.ca/;Theatre/Performance;Cinema;1131 Howe St, Vancouver, BC, V6Z 2L7;Downtown;City of Vancouver;4698;194;Yes;"{""coordinates"": [-123.12627, 49.278552], ""type"": ""Point""}";49.278552, -123.12627
2020;Sunset Terrace;http://sunset-terrace.com/;Museum/Gallery;Museum/Gallery;2028 Clark Dr, Vancouver, BC, V5N 3G7;Grandview-Woodland;Privately Owned;;;Yes;"{""coordinates"": [-123.077268, 49.266746], ""type"": ""Point""}";49.266746, -123.077268
2017;Bau-Xi Gallery;www.bau-xi.com;Museum/Gallery;Museum/Gallery;3045 Granville St, Vancouver, BC, V6H 3J9;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1391799, 49.258496], ""type"": ""Point""}";49.258496, -123.1391799
2017;Doctor Vigari Gallery;www.doctorvigarigallery.com;Museum/Gallery;Museum/Gallery;1816 Commercial Dr, Vancouver, BC, V5N 4A3;Grandview-Woodland;Privately Owned;;;Yes;"{""coordinates"": [-123.0692806, 49.2683622], ""type"": ""Point""}";49.2683622, -123.0692806
2017;GMS Observatory;http://www.spacecentre.ca/gms;Museum/Gallery;Garden/Aquarium/Science Centre;1100 Chestnut St, Vancouver, BC, V6J 3J9;Kitsilano;City of Vancouver;2811;;Yes;"{""coordinates"": [-123.144436, 49.276261], ""type"": ""Point""}";49.276261, -123.144436
2017;Granville Street/ Entertainment District;;Community Space;Plaza/Park/Band Shell;700 - 1300  Granville St, Vancouver, BC, V6Z 1M7;Downtown;City of Vancouver;;;Yes;"{""coordinates"": [-123.11966, 49.281457], ""type"": ""Point""}";49.281457, -123.11966
2017;Ian Tan Gallery;www.iantangallery.com?;Museum/Gallery;Museum/Gallery;2342 Granville St, Vancouver, BC, V6H 3G3;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.13825, 49.264989], ""type"": ""Point""}";49.264989, -123.13825
2017;Interurban Gallery;;Museum/Gallery;Museum/Gallery;1 E Hastings St, Vancouver, BC, V6A 1M9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1043161, 49.2815282], ""type"": ""Point""}";49.2815282, -123.1043161
2017;Pacific Cinematheque;http://www.thecinematheque.caabout;Theatre/Performance;Cinema;1131 Howe St, Vancouver, BC, V6Z 2L7;Downtown;City of Vancouver;4698;194;Yes;"{""coordinates"": [-123.12627, 49.278552], ""type"": ""Point""}";49.278552, -123.12627
2017;Peter Kiss Gallery;www.peterkiss.com;Museum/Gallery;Museum/Gallery;1327 Railspur Alley, Vancouver, BC, V6H 4G9;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1337947, 49.2701374], ""type"": ""Point""}";49.2701374, -123.1337947
2017;Vancouver Art Gallery;www.vanartgallery.bc.ca;Museum/Gallery;Museum/Gallery;750 Hornby St, Vancouver, BC, V6Z 2H7;Downtown;Government;172320;;Yes;"{""coordinates"": [-123.120932, 49.283158], ""type"": ""Point""}";49.283158, -123.120932
2017;Writers' Exchange;;Studio/Rehearsal;Workshop;881 E Hastings St, Vancouver, BC, V6A 1R8;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0853822, 49.2811097], ""type"": ""Point""}";49.2811097, -123.0853822
2016;Art Works Gallery;http://artworksbc.com/;Museum/Gallery;Museum/Gallery;225 Smithe St, Vancouver, BC, V6B 4X7;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1165781, 49.2775077], ""type"": ""Point""}";49.2775077, -123.1165781
2016;Canadian Music Centre (BC Region);http://www.musiccentre.ca/regions/british-columbia?field_event_region_value_many_to_one=3;Museum/Gallery;Library/Archives;837 Davie St, Vancouver, BC, V6Z 1B7;Downtown;Privately Owned;2680;;Yes;"{""coordinates"": [-123.127484, 49.278055], ""type"": ""Point""}";49.278055, -123.127484
2016;Djavad Mowafaghian Cinema;http://www.sfu.ca/mecs/facilities/goldcorp-centre-for-the-arts/meeting-rooms/djavadmowafaghian.html;Theatre/Performance;Cinema;149 W Hastings St, Vancouver, BC, V6B 1H4;Downtown;Other;;350;Yes;"{""coordinates"": [-123.108528, 49.282364], ""type"": ""Point""}";49.282364, -123.108528
2016;Gam Gallery;http://gamgallery.com/contact/;Museum/Gallery;Museum/Gallery;110 E Hastings St, Vancouver, BC, V6N 1N4;Downtown;Privately Owned;2000;;Yes;"{""coordinates"": [-123.101858, 49.2813343], ""type"": ""Point""}";49.2813343, -123.101858
2016;Secret Lantern Society;;Studio/Rehearsal;Workshop;328 -B Industrial Av, Vancouver, BC,;Strathcona;Privately Owned;1500;;Yes;"{""coordinates"": [-123.0965625, 49.2695868], ""type"": ""Point""}";49.2695868, -123.0965625
2016;Stanley Park Nature House;http://stanleyparkecology.ca/education/nature-house/;Museum/Gallery;Museum/Gallery;Stanley Park, Vancouver, BC;Stanley Park;Vancouver Park Board/COV;500;;Yes;"{""coordinates"": [-123.137914, 49.294408], ""type"": ""Point""}";49.294408, -123.137914
2015;Beaty Biodiversity Museum;http://www.beatymuseum.ubc.ca/about;Museum/Gallery;Museum/Gallery;2212 Main Mall, Vancouver, BC, V6T 1Z4;UBC;Other;20000;;Yes;"{""coordinates"": [-123.251485, 49.2634318], ""type"": ""Point""}";49.2634318, -123.251485
2015;Gallery Gachet;www.gachet.org?;Museum/Gallery;Museum/Gallery;88 E Cordova St, Vancouver, BC, V6A 1K2;Downtown;Privately Owned;2600;;Yes;"{""coordinates"": [-123.102645, 49.2821], ""type"": ""Point""}";49.2821, -123.102645
2015;Gallery of BC Ceramics;http://www.bcpotters.com/Gallery/index.php;Museum/Gallery;Museum/Gallery;1359 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Non-Profit;;;Yes;"{""coordinates"": [-123.134283, 49.270046], ""type"": ""Point""}";49.270046, -123.134283
2015;Granville Island Gallery;www.granvilleislandgallery.com?;Museum/Gallery;Museum/Gallery;1494 Old Bridge St, Vancouver, BC, V6H 3S6;Fairview;Government;;;Yes;"{""coordinates"": [-123.134769, 49.270213], ""type"": ""Point""}";49.270213, -123.134769
2015;Monte Clark Gallery;www.monteclarkgallery.com;Museum/Gallery;Museum/Gallery;525 Great Northern Way, Vancouver, BC, V5T 1E1;Strathcona;Privately Owned;4000;;Yes;"{""coordinates"": [-123.0921743, 49.26761], ""type"": ""Point""}";49.26761, -123.0921743
2015;Pacific Cinémathèque;http://www.thecinematheque.caabout;Theatre/Performance;Cinema;1131 Howe St, Vancouver, BC, V6Z 2L7;Downtown;City of Vancouver;4698;194;Yes;"{""coordinates"": [-123.12627, 49.278552], ""type"": ""Point""}";49.278552, -123.12627
2015;Remington Gallery and Studio;https://www.facebook.com/Remington.Gallery.and.Studio;Museum/Gallery;Museum/Gallery;108 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1019396, 49.281336], ""type"": ""Point""}";49.281336, -123.1019396
2015;Secret Lantern Society;;Studio/Rehearsal;Workshop;328 -B Industrial Av, Vancouver, BC,;Strathcona;Privately Owned;1500;;Yes;"{""coordinates"": [-123.0965625, 49.2695868], ""type"": ""Point""}";49.2695868, -123.0965625
2015;Trench Gallery;www.trenchgallery.com;Museum/Gallery;Museum/Gallery;148 Alexander St, Vancouver, BC, V6A 1B5;Downtown;Privately Owned;1000;;Yes;"{""coordinates"": [-123.1010921, 49.2839469], ""type"": ""Point""}";49.2839469, -123.1010921
2015;Vanier Park;;Community Space;Plaza/Park/Band Shell;1000 Chestnut St, Vancouver, BC, V6J 3J9;Kitsilano;City of Vancouver;228194;;Yes;"{""coordinates"": [-123.146124, 49.276777], ""type"": ""Point""}";49.276777, -123.146124
2014;15th Field Artillery Regiment Museum and Archives;www.memorybc.ca/museum-of-15th-field-artillery-regiment;Museum/Gallery;Museum/Gallery;2025 W 11th Av, Vancouver, BC, V6J 2C7;Kitsilano;Privately Owned;;;Yes;"{""coordinates"": [-123.151123, 49.261938], ""type"": ""Point""}";49.261938, -123.151123
2014;221A Artist Run Centre;www.221a.ca/?;Museum/Gallery;Museum/Gallery;221 E Georgia St, Vancouver, BC, V6A 1Z6;Strathcona;Privately Owned;9000;;Yes;"{""coordinates"": [-123.098796, 49.278786], ""type"": ""Point""}";49.278786, -123.098796
2014;Artspeak Gallery;www.artspeak.ca/?;Museum/Gallery;Museum/Gallery;233 Carrall St, Vancouver, BC, V6B 2J2;Downtown;Non-Profit;990;;Yes;"{""coordinates"": [-123.104299, 49.282941], ""type"": ""Point""}";49.282941, -123.104299
2014;Basic Inquiry;http://www.lifedrawing.org/index.html;Museum/Gallery;Museum/Gallery;1011 Main St, Vancouver, BC, V6A 4L4;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1000334, 49.2758184], ""type"": ""Point""}";49.2758184, -123.1000334
2014;Creekside Park;;Community Space;Plaza/Park/Band Shell;1455 Quebec St, Vancouver, BC, V6A 3Z7;Downtown;City of Vancouver;177518;;Yes;"{""coordinates"": [-123.10319, 49.274159], ""type"": ""Point""}";49.274159, -123.10319
2014;David Lam Park;;Community Space;Plaza/Park/Band Shell;1300 Pacific Blvd, Vancouver, BC, V6Z 2V1;Downtown;City of Vancouver;467154;;Yes;"{""coordinates"": [-123.1241736, 49.2724252], ""type"": ""Point""}";49.2724252, -123.1241736
2014;Malaspina Printmakers Gallery;www.malaspinaprintmakers.com?;Museum/Gallery;Museum/Gallery;1555 Duranleau St, Vancouver, BC, V6H 3S3;Fairview;Government;2500;;Yes;"{""coordinates"": [-123.135784, 49.271369], ""type"": ""Point""}";49.271369, -123.135784
2014;Vancouver Art Gallery Offsite;http://www.vanartgallery.bc.ca/the_exhibitions/public_art.html;Museum/Gallery;Museum/Gallery;1100 W Georgia St, Vancouver, BC, V6E 0A8;West End;City of Vancouver;34033;;Yes;"{""coordinates"": [-123.124298, 49.286205], ""type"": ""Point""}";49.286205, -123.124298
2014;Winsor Gallery;www.winsorgallery.com;Museum/Gallery;Museum/Gallery;258 E 1st Ave, Vancouver, BC, V5T 1A6;Strathcona;Privately Owned;6000;;Yes;"{""coordinates"": [-123.0984496, 49.2689553], ""type"": ""Point""}";49.2689553, -123.0984496
2020;Artspeak Gallery;www.artspeak.ca/?;Museum/Gallery;Museum/Gallery;233 Carrall St, Vancouver, BC, V6B 2J2;Downtown;Non-Profit;990;;Yes;"{""coordinates"": [-123.104299, 49.282941], ""type"": ""Point""}";49.282941, -123.104299
2020;BAF Gallery;http://www.burrardarts.org/about.html;Museum/Gallery;Museum/Gallery;258 E 1st Av, Vancouver, BC, V5T 1A6;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.098527, 49.268909], ""type"": ""Point""}";49.268909, -123.098527
2020;Elissa Cristall Galleries;http://cristallgallery.com;Museum/Gallery;Museum/Gallery;2239 Granville St, Vancouver, BC, V6H 3G1;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1385822, 49.2655257], ""type"": ""Point""}";49.2655257, -123.1385822
2020;Jennifer Kostuik Gallery;www.kostuikgallery.com?;Museum/Gallery;Museum/Gallery;1070 Homer St, Vancouver, BC, V6B 2W9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1211143, 49.2766268], ""type"": ""Point""}";49.2766268, -123.1211143
2020;Morris and Helen Belkin Art Gallery;http://www.belkin.ubc.ca/;Museum/Gallery;Museum/Gallery;1825 Main Mall, Vancouver, BC, V6T 1Z2;UBC;Other;;;Yes;"{""coordinates"": [-123.255944, 49.2683878], ""type"": ""Point""}";49.2683878, -123.255944
2020;Trillium North Park;https://trilliumnorthpark.com/;Other;Garden/Aquarium/Science Centre;699 National Av, Vancouver, BC, V6A 3X2;Strathcona;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.09379, 49.274169], ""type"": ""Point""}";49.274169, -123.09379
2017;Art Beatus;www.artbeatus.com;Museum/Gallery;Museum/Gallery;808 Nelson St, Vancouver, BC, V6Z 2H2;Downtown;Privately Owned;3700;;Yes;"{""coordinates"": [-123.1249139, 49.2800409], ""type"": ""Point""}";49.2800409, -123.1249139
