name,website,type,use,address,area,ownership,Geom,geo_point_2d,latitude,longitude
AHVA Gallery,http://gallery.ahva.ubc.ca/about/,Museum/Gallery,Museum/Gallery,"6398 University Blvd, Vancouver, BC,",UBC,Other,"{""coordinates"": [-123.2549451, 49.2639124], ""type"": ""Point""}","49.2639124, -123.2549451",49.2639124,-123.2549451
Beaty Biodiversity Museum,http://www.beatymuseum.ubc.ca/about,Museum/Gallery,Museum/Gallery,"2212 Main Mall, Vancouver, BC, V6T 1Z4",UBC,Other,"{""coordinates"": [-123.251485, 49.2634318], ""type"": ""Point""}","49.2634318, -123.251485",49.2634318,-123.251485
Douglas Udell Gallery,www.douglasudellgallery.com?,Museum/Gallery,Museum/Gallery,"1558 W 6th Av, Vancouver, BC, V6J 1R2",Fairview,Privately Owned,"{""coordinates"": [-123.1399725, 49.2661804], ""type"": ""Point""}","49.2661804, -123.1399725",49.2661804,-123.1399725
Federation Gallery,http://artists.ca/federation_gallery,Museum/Gallery,Museum/Gallery,"1241 Cartwright St, Vancouver, BC, V6H 4B7",Fairview,Privately Owned,"{""coordinates"": [-123.13225, 49.269582], ""type"": ""Point""}","49.269582, -123.13225",49.269582,-123.13225
Granville Island,,Community Space,Plaza/Park/Band Shell,"Granville Island, Vancouver, BC",Fairview,Government,"{""coordinates"": [-123.134845, 49.269463], ""type"": ""Point""}","49.269463, -123.134845",49.269463,-123.134845
Hastings Mill Store Museum,www.hastings-mill-museum.ca?,Museum/Gallery,Museum/Gallery,"1575 Alma St, Vancouver, BC, V6R 3P3",West Point Grey,City of Vancouver,"{""coordinates"": [-123.185988, 49.272817], ""type"": ""Point""}","49.272817, -123.185988",49.272817,-123.185988
Inuit Gallery of Vancouver,www.inuit.com,Museum/Gallery,Museum/Gallery,"206 Cambie St, Vancouver, BC, V6B 2M9",Downtown,Privately Owned,"{""coordinates"": [-123.1088083, 49.2842455], ""type"": ""Point""}","49.2842455, -123.1088083",49.2842455,-123.1088083
John Hendry Park (Trout Lake),,Community Space,Plaza/Park/Band Shell,"3300 Victoria Dr, Vancouver, BC, V5N 4L9",Kensington-Cedar Cottage,Vancouver Park Board/COV,"{""coordinates"": [-123.06391, 49.25716], ""type"": ""Point""}","49.25716, -123.06391",49.25716,-123.06391
Larwill Park,https://en.wikipedia.org/wiki/Larwill_Park,Community Space,Plaza/Park/Band Shell,"688 Cambie St, Vancouver, BC, V6B 1T9",Downtown,City of Vancouver,"{""coordinates"": [-123.111836, 49.28042], ""type"": ""Point""}","49.28042, -123.111836",49.28042,-123.111836
Remington Gallery and Studio,https://www.facebook.com/Remington.Gallery.and.Studio,Museum/Gallery,Museum/Gallery,"108 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,Privately Owned,"{""coordinates"": [-123.1019396, 49.281336], ""type"": ""Point""}","49.281336, -123.1019396",49.281336,-123.1019396
Vancouver Access Artist Run Centre,www.accessgallery.ca,Museum/Gallery,Museum/Gallery,"222 E Georgia St, Vancouver, BC, V6A 1Z7",Strathcona,Privately Owned,"{""coordinates"": [-123.098757, 49.278453], ""type"": ""Point""}","49.278453, -123.098757",49.278453,-123.098757
Vancouver Holocaust Education Centre,www.vhec.org?,Museum/Gallery,Museum/Gallery,"950 W 41st Av, Vancouver, BC, V5Z 2N7",Oakridge,Privately Owned,"{""coordinates"": [-123.126013, 49.233442], ""type"": ""Point""}","49.233442, -123.126013",49.233442,-123.126013
Vancouver Public Library,www.vpl.ca,Museum/Gallery,Library/Archives,"350 W Georgia St, Vancouver, BC, V6B 6B1",Downtown,City of Vancouver,"{""coordinates"": [-123.1151119, 49.2804357], ""type"": ""Point""}","49.2804357, -123.1151119",49.2804357,-123.1151119
221A Artist Run Centre,www.221a.ca/?,Museum/Gallery,Museum/Gallery,"221 E Georgia St, Vancouver, BC, V6A 1Z6",Strathcona,Privately Owned,"{""coordinates"": [-123.098796, 49.278786], ""type"": ""Point""}","49.278786, -123.098796",49.278786,-123.098796
Bill Reid Gallery,www.billreidgallery.ca,Museum/Gallery,Museum/Gallery,"639 Hornby St, Vancouver, BC, V6C 2G3",Downtown,Privately Owned,"{""coordinates"": [-123.119819, 49.284308], ""type"": ""Point""}","49.284308, -123.119819",49.284308,-123.119819
Creekside Park,,Community Space,Plaza/Park/Band Shell,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,City of Vancouver,"{""coordinates"": [-123.10319, 49.274159], ""type"": ""Point""}","49.274159, -123.10319",49.274159,-123.10319
Federation Gallery,http://artists.ca/federation_gallery,Museum/Gallery,Museum/Gallery,"1241 Cartwright St, Vancouver, BC, V6H 4B7",Fairview,Privately Owned,"{""coordinates"": [-123.13225, 49.269582], ""type"": ""Point""}","49.269582, -123.13225",49.269582,-123.13225
Gallery of BC Ceramics,http://www.bcpotters.com/Gallery/index.php,Museum/Gallery,Museum/Gallery,"1359 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Non-Profit,"{""coordinates"": [-123.134283, 49.270046], ""type"": ""Point""}","49.270046, -123.134283",49.270046,-123.134283
GMS Observatory,http://www.spacecentre.ca/gms,Museum/Gallery,Garden/Aquarium/Science Centre,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.144436, 49.276261], ""type"": ""Point""}","49.276261, -123.144436",49.276261,-123.144436
Granville Fine Arts,www.granvillefineart.com?,Museum/Gallery,Museum/Gallery,"2447 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,"{""coordinates"": [-123.1386339, 49.2638926], ""type"": ""Point""}","49.2638926, -123.1386339",49.2638926,-123.1386339
Granville Island,,Community Space,Plaza/Park/Band Shell,"Granville Island, Vancouver, BC",Fairview,Government,"{""coordinates"": [-123.134845, 49.269463], ""type"": ""Point""}","49.269463, -123.134845",49.269463,-123.134845
Lattimer Gallery,www.lattimergallery.com?,Museum/Gallery,Museum/Gallery,"1590 W 2nd Av, Vancouver, BC, V6J 1H2",Fairview,Privately Owned,"{""coordinates"": [-123.1406592, 49.2696829], ""type"": ""Point""}","49.2696829, -123.1406592",49.2696829,-123.1406592
Spirit Wrestler Gallery,www.spiritwrestler.com,Museum/Gallery,Museum/Gallery,"47 Water St, Vancouver, BC, V6B 1A1",Downtown,Privately Owned,"{""coordinates"": [-123.105348, 49.2837331], ""type"": ""Point""}","49.2837331, -123.105348",49.2837331,-123.105348
Trench Gallery,www.trenchgallery.com,Museum/Gallery,Museum/Gallery,"148 Alexander St, Vancouver, BC, V6A 1B5",Downtown,Privately Owned,"{""coordinates"": [-123.1010921, 49.2839469], ""type"": ""Point""}","49.2839469, -123.1010921",49.2839469,-123.1010921
Winsor Gallery,www.winsorgallery.com,Museum/Gallery,Museum/Gallery,"258 E 1st Ave, Vancouver, BC, V5T 1A6",Strathcona,Privately Owned,"{""coordinates"": [-123.0984496, 49.2689553], ""type"": ""Point""}","49.2689553, -123.0984496",49.2689553,-123.0984496
Arts Club Theatre - Production Centre,,Studio/Rehearsal,Workshop,"1377 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Government,"{""coordinates"": [-123.1347122, 49.2700047], ""type"": ""Point""}","49.2700047, -123.1347122",49.2700047,-123.1347122
BAF Studio,http://www.burrardarts.org/about.html,Museum/Gallery,Museum/Gallery,"108 E Broadway Av, Vancouver, BC, V5T 1V9",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.102505, 49.262669], ""type"": ""Point""}","49.262669, -123.102505",49.262669,-123.102505
Circle Craft Co-Operative Shop & Gallery,www.circlecraft.net/,Museum/Gallery,Museum/Gallery,"1666 Johnston St, Vancouver, BC, V6H 3S2",Fairview,Government,"{""coordinates"": [-123.135541, 49.272369], ""type"": ""Point""}","49.272369, -123.135541",49.272369,-123.135541
Contemporary Art Gallery,www.contemporaryartgallery.ca?,Museum/Gallery,Museum/Gallery,"555 Nelson St, Vancouver, BC, V6B 6R5",Downtown,Privately Owned,"{""coordinates"": [-123.121183, 49.278238], ""type"": ""Point""}","49.278238, -123.121183",49.278238,-123.121183
Havana Gallery,www.havanarestaurant.ca,Museum/Gallery,Museum/Gallery,"1212 Commercial Dr, Vancouver, BC, V5L 3X4",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.069421, 49.273662], ""type"": ""Point""}","49.273662, -123.069421",49.273662,-123.069421
Uno Langmann Limited Fine Arts,www.langmann.com,Museum/Gallery,Museum/Gallery,"2117 Granville St, Vancouver, BC, V6H 3E9",Fairview,Privately Owned,"{""coordinates"": [-123.1388698, 49.2666423], ""type"": ""Point""}","49.2666423, -123.1388698",49.2666423,-123.1388698
Vancouver Art Gallery,www.vanartgallery.bc.ca,Museum/Gallery,Museum/Gallery,"750 Hornby St, Vancouver, BC, V6Z 2H7",Downtown,Government,"{""coordinates"": [-123.120932, 49.283158], ""type"": ""Point""}","49.283158, -123.120932",49.283158,-123.120932
Vancouver Public Library,www.vpl.ca,Museum/Gallery,Library/Archives,"350 W Georgia St, Vancouver, BC, V6B 6B1",Downtown,City of Vancouver,"{""coordinates"": [-123.1151119, 49.2804357], ""type"": ""Point""}","49.2804357, -123.1151119",49.2804357,-123.1151119
Wil Aballe Art Projects,http://www.waapart.com/,Museum/Gallery,Museum/Gallery,"1129 E Hastings St, Vancouver, BC, V6A 1S3",Strathcona,Privately Owned,"{""coordinates"": [-123.0829342, 49.2811746], ""type"": ""Point""}","49.2811746, -123.0829342",49.2811746,-123.0829342
BC Sports Hall of Fame Museum,www.bcsportshalloffame.com,Museum/Gallery,Museum/Gallery,"777 Pacific Blvd S, Vancouver, BC, V6B 4Y8",Downtown,Government,"{""coordinates"": [-123.110438, 49.27619], ""type"": ""Point""}","49.27619, -123.110438",49.27619,-123.110438
Chali-Rosso Gallery,www.chalirosso.com,Museum/Gallery,Museum/Gallery,"2250 Granville St, Vancouver, BC, V6H 4H7",Fairview,Privately Owned,"{""coordinates"": [-123.1384021, 49.2657529], ""type"": ""Point""}","49.2657529, -123.1384021",49.2657529,-123.1384021
Gallery Jones,www.galleryjones.com?,Museum/Gallery,Museum/Gallery,"258 E 1st Av, Vancouver, BC, V5T 1A6",Strathcona,Privately Owned,"{""coordinates"": [-123.098623, 49.269727], ""type"": ""Point""}","49.269727, -123.098623",49.269727,-123.098623
Granville Fine Arts,www.granvillefineart.com?,Museum/Gallery,Museum/Gallery,"2447 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,"{""coordinates"": [-123.1386339, 49.2638926], ""type"": ""Point""}","49.2638926, -123.1386339",49.2638926,-123.1386339
Havana Gallery,www.havanarestaurant.ca,Museum/Gallery,Museum/Gallery,"1212 Commercial Dr, Vancouver, BC, V5L 3X4",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.069421, 49.273662], ""type"": ""Point""}","49.273662, -123.069421",49.273662,-123.069421
Rennie Collection at Wing Sang,http://renniecollection.org/gallery/wingsang.php,Museum/Gallery,Museum/Gallery,"51 E Pender St, Vancouver, BC, V6A 1S9",Downtown,Privately Owned,"{""coordinates"": [-123.1031317, 49.2806995], ""type"": ""Point""}","49.2806995, -123.1031317",49.2806995,-123.1031317
Ayden Gallery,www.aydengallery.com?,Museum/Gallery,Museum/Gallery,"88 W Pender St, Vancouver, BC, V6B 6N9",Downtown,Privately Owned,"{""coordinates"": [-123.1071802, 49.2809655], ""type"": ""Point""}","49.2809655, -123.1071802",49.2809655,-123.1071802
Ian Tan Gallery,www.iantangallery.com?,Museum/Gallery,Museum/Gallery,"2202 Granville St, Vancouver, BC, V6H 4H7",Fairview,Privately Owned,"{""coordinates"": [-123.1383868, 49.2661646], ""type"": ""Point""}","49.2661646, -123.1383868",49.2661646,-123.1383868
John Hendry Park (Trout Lake),,Community Space,Plaza/Park/Band Shell,"3300 Victoria Dr, Vancouver, BC, V5N 4L9",Kensington-Cedar Cottage,Vancouver Park Board/COV,"{""coordinates"": [-123.06391, 49.25716], ""type"": ""Point""}","49.25716, -123.06391",49.25716,-123.06391
Lobby Gallery,http://www.ligi.ubc.ca/LobbyGallery.htm,Museum/Gallery,Museum/Gallery,"6476 NW Marine Dr, Vancouver, BC,",UBC,Other,"{""coordinates"": [-123.259146, 49.267681], ""type"": ""Point""}","49.267681, -123.259146",49.267681,-123.259146
